,Stage Name,Full Name,Date of Birth,Group,Country,Height,Weight,Gender,Year of Birth,Age
42,Aurora,Yang Lan,1997-01-14,NATURE,China,0,0,F,1997,26
43,Ayamy,Suzuki Ayami,2000-07-15,Bling Bling,Japan,0,0,F,2000,23
44,Ayden,Kwon Yejun,2005-01-24,EPEX,South Korea,174,55,M,2005,18
45,Ayeon,Son Minji,2002-09-29,Saturday,South Korea,162,47,F,2002,21
46,Ayno,Noh Yoonho,1996-05-01,VAV,South Korea,183,61,M,1996,27
47,B-Bomb,Lee Minhyuk,1990-12-14,Block B,South Korea,178,60,M,1990,33
48,B-Joo,Kim Byungjoo,1994-01-08,Topp Dogg,South Korea,0,0,M,1994,29
49,B.I,Kim Hanbin,1996-10-22,,South Korea,0,0,M,1996,27
50,B.S,Lee Youngsoo,1995-04-14,14U,South Korea,0,0,M,1995,28
51,Babysoul,Lee Soojung,1992-07-06,Lovelyz,South Korea,158,41,F,1992,31
52,Bada,Kim Bada,2002-05-28,Hinapia,South Korea,162,49,F,2002,21
53,Bae,Bae Jinsol,2004-12-28,NMIXX,South Korea,0,0,F,2004,19
54,Baek Seung,Kim Hyunwoo,2004-10-05,EPEX,South Korea,186,64,M,2004,19
55,Baekah,Kim Sua,1999-10-24,XUM,South Korea,0,0,F,1999,24
56,Baekgyeul,Baek Sunwoo,1999-12-01,E'LAST,South Korea,180,61,M,1999,24
57,Baekho,Kang Dongho,1995-07-21,NU'EST,South Korea,0,0,M,1995,28
58,Baekhyun,Byun Baekhyun,1992-05-06,EXO,South Korea,174,58,M,1992,31
59,Bahiyyih,Huening Bahiyyih,2004-07-27,Kep1er,USA,166,0,F,2004,19
60,Bain,Song Byeonghee,2001-05-04,JUST B,South Korea,0,0,M,2001,22
61,BamBam,Kunpimook Bhuwakul,1997-05-02,GOT7,Thailand,170,52,M,1997,26
62,Bang Chan,Bang Chan,1997-10-03,Stray Kids,Australia,0,0,M,1997,26
63,Bao,Bae Sungyeob,1996-05-12,XEED,South Korea,182,63,M,1996,27
64,Baro,Cha Sunwoo,1992-09-05,,South Korea,178,63,M,1992,31
65,Baron,Choi Chunghyeop,1992-04-19,,South Korea,180,60,M,1992,31
66,BC,Jin Sungho,1994-07-18,1TEAM,South Korea,0,0,M,1994,29
67,Bekah,Rebecca Kim,1989-08-11,,South Korea,0,0,F,1989,34
68,BEL,Choi Sunghoon,2000-05-21,DUSTIN,South Korea,0,0,M,2000,23
69,Belle,Jin Hyeonjoo,2001-11-03,Cignature,South Korea,0,0,F,2001,22
70,Benji,Baek Jaewook,1992-05-03,B.I.G,USA,183,72,M,1992,31
71,Beomgyu,Choi Beomgyu,2001-03-13,TXT,South Korea,0,0,M,2001,22
72,Beomsoo,Kim Beomsoo,2000-09-29,XODIAC,South Korea,183,63,M,2000,23
73,Bessie,Kim Susanna,2004-07-15,Lapillus,South Korea,0,0,F,2004,19
74,Bian,Yu Jiwon,2001-02-13,MAJORS,South Korea,0,0,F,2001,22
75,BIBI,Kim Hyungseo,1998-09-27,,South Korea,0,0,F,1998,25
76,Bic,Nam Seungmin,2001-04-25,MCND,South Korea,0,0,M,2001,22
77,Bin,Kwon Soobin,1993-10-28,Hot Blood Youth,South Korea,0,0,M,1993,30
78,Bit,No Minjae,2004-07-21,BAE173,South Korea,0,0,M,2004,19
79,Bitsaeon,Kim Sangyeon,1995-06-04,MONT,South Korea,181,60,M,1995,28
80,Bitto,Lee Changhyun,1996-08-24,UP10TION,South Korea,0,0,M,1996,27
81,Blue,Jung Gahee,1994-01-18,Pungdeng-E,South Korea,161,0,F,1994,29
82,BM,Matthew Kim,1992-10-20,KARD,South Korea,0,0,M,1992,31
83,BoA,Kwon Boa,1986-11-05,,South Korea,0,0,F,1986,37
84,Boa,Kim Boah,1987-01-14,KEEMBO,South Korea,0,0,F,1987,36
85,Bobby,Kim Jiwon,1995-12-21,iKON,South Korea,0,0,M,1995,28
86,Boeun,Park Boeun,2008-02-11,CLASS:y,South Korea,155,0,F,2008,15
87,Bohyung,Kim Bohyung,1991-03-31,KEEMBO,South Korea,0,0,F,1991,32
88,Bokeun,Kim Bokeun,1994-10-12,SIGNAL,South Korea,0,0,M,1994,29
89,Bom,Park Bom,1984-03-24,2NE1,South Korea,0,0,F,1984,39
90,Bomi,Yoon Bomi,1993-08-13,Apink,South Korea,163,0,F,1993,30
91,Bomin,Choi Bomin,2000-08-24,Golden Child,South Korea,0,0,M,2000,23
92,Bomin,Kim Bomin,2001-09-24,RedSquare,South Korea,0,0,F,2001,22
93,Bona,Kim Jiyeon,1995-08-19,WJSN,South Korea,163,0,F,1995,28
94,Boni,Choi Euijeong,1999-10-30,Dreamnote,South Korea,160,45,F,1999,24
95,Bora,Yoon Bora,1989-12-30,SISTAR,South Korea,0,0,F,1989,34
96,Bora,Kim Bora,1999-03-03,Cherry Bullet,South Korea,0,0,F,1999,24
97,Boram,Jeon Boram,1986-03-22,,South Korea,155,45,F,1986,37
98,Boyul,Kwon Boyul,2002-01-21,WEUS,South Korea,179,60,M,2002,21
99,Bullet,Jin Junwoo,1995-12-02,VARSITY,South Korea,182,65,M,1995,28
100,BX,Lee Byounggon,1998-03-05,CIX,South Korea,180,61,M,1998,25
101,Byeongkwan,Kim Byeongkwan,1996-08-13,A.C.E,South Korea,0,0,M,1996,27
102,Byungchan,Choi Byungchan,1997-11-12,VICTON,South Korea,0,0,M,1997,26
103,Byunghoon,Choi Byunghoon,2000-04-26,CMDM,South Korea,0,0,M,2000,23
104,C.A.P,Bang Minsoo,1992-11-04,Teen Top,South Korea,0,0,M,1992,31
105,Cao Lu,Cao Lu,1987-08-30,Fiestar,China,166,0,F,1987,36
106,Casper,Chu Xiaoxiang,1991-03-20,CROSS GENE,China,176,66,M,1991,32
107,Castle J,Son Sangjoon,1999-05-31,MCND,South Korea,0,0,M,1999,24
108,Cha Hoon,Cha Hoon,1994-07-12,N.Flying,South Korea,0,0,M,1994,29
109,Chaebin,Choi Yoobin,1999-07-28,NATURE,South Korea,0,0,F,1999,24
110,Chaeeun,Yoon Chaeeun,2005-12-10,ADYA,South Korea,0,0,F,2005,18
111,Chaehyun,Kim Chaehyun,1999-11-29,Bonus Baby,South Korea,163,0,F,1999,24
112,Chaehyun,Kim Chaehyun,2002-04-26,Kep1er,South Korea,160,0,F,2002,21
113,Chaein,Lee Chaeyoung,2002-12-05,Purple Kiss,South Korea,0,0,F,2002,21
114,Chaejeong,Lee Chaejeong,1999-08-26,ALICE,South Korea,164,48,F,1999,24
115,Chaejin,Chae Jinseok,1995-12-26,MYNAME,South Korea,0,0,M,1995,28
116,Chaekyung,Yoon Chaekyung,1996-07-07,APRIL,South Korea,160,45,F,1996,27
117,Chaelin,Lee Chaelin,1999-10-20,FANATICS,South Korea,162,47,F,1999,24
118,Chaerin,Park Chaerin,2002-03-13,Cherry Bullet,South Korea,0,0,F,2002,21
119,Chaerin,Park Chaerin,2003-03-31,ICHILLIN',South Korea,0,0,F,2003,20
120,Chaerin,Lee Chaerin,2007-07-07,KELT9b,South Korea,0,0,F,2007,16
121,Chaeryeong,Lee Chaeryeong,2001-06-05,ITZY,South Korea,0,0,F,2001,22
122,Chaesol,Maeng Chaesol,1998-07-14,Cignature,South Korea,0,0,F,1998,25
123,Chaewon,Kim Chaewon,1997-11-08,APRIL,South Korea,0,0,F,1997,26
124,Chaewon,Kim Chaewon,2000-08-01,LE SSERAFIM,South Korea,0,0,F,2000,23
125,Chaewon,Lee Chaewon,2000-03-18,Maka Maka,South Korea,0,0,F,2000,23
126,Chaewon,Yoon Chaewon,2003-06-04,CLASS:y,South Korea,163,0,F,2003,20
127,ChaeY,Song Chaeyeon,2003-01-06,CRAXY,South Korea,0,0,F,2003,20
128,Chaeyeon,Jung Chaeyeon,1997-12-01,DIA,South Korea,165,49,F,1997,26
129,Chaeyeon,Kim Chaeyeon,2004-12-04,tripleS,South Korea,0,0,F,2004,19
130,Chaeyeon,Lee Chaeyeon,2000-01-11,IZ*ONE,South Korea,0,0,F,2000,23
131,Chaeyoung,Son Chaeyoung,1999-04-23,Twice,South Korea,159,0,F,1999,24
132,Chaeyoung,Lee Chaeyoung,2000-05-14,fromis_9,South Korea,0,0,F,2000,23
133,Chahee,Park Sooyoung,1996-03-24,MELODYDAY,South Korea,167,0,F,1996,27
134,Chan,Jung Chanwoo,1998-01-26,iKON,South Korea,0,0,M,1998,25
135,Chan,Kang Yoochan,1997-12-31,A.C.E,South Korea,0,0,M,1997,26
136,Chan,Jo Chanhyuk,1999-12-08,TOO,South Korea,0,0,M,1999,24
137,Changbin,Seo Changbin,1999-08-11,Stray Kids,South Korea,0,0,M,1999,24
138,Changbum,Woo Changbum,1993-10-07,,South Korea,0,0,M,1993,30
139,Changgyu,Song Changgyu,1993-07-06,UNVS,South Korea,0,0,M,1993,30
140,Changjo,Choi Jonghyun,1995-11-16,Teen Top,South Korea,0,0,M,1995,28
141,Changsub,Lee Changsub,1991-02-26,BtoB,South Korea,177,64,M,1991,32
142,Changsun,Lee Changsun,1996-03-17,24K,South Korea,179,58,M,1996,27
143,Changuk,Joo Changuk,2001-07-25,DRIPPIN,South Korea,184,59,M,2001,22
144,Chani,Kang Chanhee,2000-01-17,SF9,South Korea,0,0,M,2000,23
145,Chanmi,Kim Chanmi,1996-06-19,AoA,South Korea,166,47,F,1996,27
146,Chansung,Hwang Chansung,1990-02-11,2PM,South Korea,184,75,M,1990,33
147,Chanty,Maria Chantal Videla,2002-12-15,Lapillus,Philippines,170,0,F,2002,21
148,Chanwon,An Chanwon,2008-03-21,The Wind,South Korea,0,0,M,2008,15
149,Chanwook,Yang Chanwook,2002-02-25,WEUS,South Korea,184,62,M,2002,21
150,Chanyeol,Park Chanyeol,1992-11-27,EXO,South Korea,185,70,M,1992,31
151,Chanyong,Kim Chanyong,1993-04-29,FAVE1,South Korea,0,0,M,1993,30
152,Chanyoung,Kim Chanyoung,2000-11-20,D-CRUNCH,South Korea,0,0,M,2000,23
153,Chanyoung,Jung Chanyoung,2004-01-31,HAWW,South Korea,180,67,M,2004,19
154,Chen,Kim Jongdae,1992-09-21,EXO,South Korea,173,64,M,1992,31
155,Cheng Xiao,Cheng Xiao,1998-07-15,,China,167,0,F,1998,25
156,Chenle,Zhong Chenle,2001-11-22,NCT,China,0,0,M,2001,22
157,Cheongeum,Jang Cheongeum,1996-06-19,Ho1iday,South Korea,0,0,F,1996,27
158,Chi.u,Lee Jaeyi,1998-08-16,X:IN,South Korea,0,0,F,1998,25
159,Chiayi,Li Chiayi,2000-01-22,FANATICS,Taiwan,164,0,F,2000,23
160,Chihoon,Choi Chihoon,1999-04-27,TOO,South Korea,0,0,M,1999,24
161,Chiquita,Riracha Phondechaphiphat,2009-02-17,BABYMONSTER,Thailand,0,0,F,2009,14
162,Chiwoo,Guk Seungjun,2002-09-02,Kingdom,South Korea,0,0,M,2002,21
163,Chloe,Yun Jiwon,2001-01-06,Cignature,South Korea,163,0,F,2001,22
164,Choa,Park Choa,1990-03-06,,South Korea,160,42,F,1990,33
165,Choa,Heo Minjin,1990-07-12,Crayon Pop,South Korea,161,0,F,1990,33
166,Choerry,Choi Yerim,2001-06-04,LOONA,South Korea,0,0,F,2001,22
167,Choi In,Choi In,1996-02-11,E'LAST,South Korea,170,50,M,1996,27
168,Choi Jiann,Choi Jaewoo,1997-09-30,Newkidd,South Korea,175,0,M,1997,26
169,Chorong,Park Chorong,1991-03-03,Apink,South Korea,165,0,F,1991,32
170,Chowon,Han Chowon,2002-09-16,LIGHTSUM,South Korea,168,50,F,2002,21
171,Chowon,Kim Chowon,2005-08-18,ICHILLIN',South Korea,0,0,F,2005,18
172,Choyeon,Kim Choyeon,2001-08-01,bugAboo,South Korea,164,44,F,2001,22
173,Chris,Han Chris,2002-11-19,BLITZERS,South Korea,0,0,M,2002,21
174,Chungha,Kim Chungha,1996-02-09,,South Korea,0,0,F,1996,27
175,Chunji,Lee Chanhee,1993-10-05,Teen Top,South Korea,0,0,M,1993,30
176,Chuu,Kim Jiwoo,1999-10-20,LOONA,South Korea,0,0,F,1999,24
177,CL,Lee Chaerin,1991-02-26,2NE1,South Korea,0,0,F,1991,32
178,CNU,Shin Dongwoo,1991-06-16,B1A4,South Korea,182,64,M,1991,32
179,Cory,Hong Joohyung,1990-11-25,24K,South Korea,175,58,M,1990,33
180,Cui Xiang,Cui Xiang,1995-01-26,BOTOPASS,China,0,0,F,1995,28
181,Cya,Lee Giwook,2000-01-24,Onewe,South Korea,0,0,M,2000,23
182,Cyan,Lee Chaeeun,2001-04-04,bugAboo,South Korea,0,0,F,2001,22
183,D.ana,Cho Eunae,1995-09-10,Sonamoo,South Korea,170,0,F,1995,28
184,D.O.,Do Kyungsoo,1993-01-12,EXO,South Korea,173,60,M,1993,30
185,D1,Jang Dongil,1998-02-15,DKB,South Korea,174,59,M,1998,25
186,Dabi,Park Jiwon,2000-01-19,AREAL,South Korea,0,0,F,2000,23
187,Daehwi,Lee Daehwi,2001-01-29,AB6IX,South Korea,0,0,M,2001,22
188,Daehyeon,Jang Daehyeon,1997-02-11,WEi,South Korea,175,0,M,1997,26
189,Daehyun,Jung Daehyun,1993-06-28,B.A.P,South Korea,177,63,M,1993,30
190,Daeil,Kim Daeil,1992-05-10,,South Korea,0,0,M,1992,31
191,Daesung,Daesung,1989-04-26,BIGBANG,South Korea,178,63,M,1989,34
192,Daeun,Jung Daeun,1994-06-03,2EYES,South Korea,161,0,F,1994,29
193,Daewang Nim,Daewang Nim,1996-04-08,Pink Fantasy,South Korea,162,49,F,1996,27
194,Daeyeol,Lee Daeyeol,1993-02-11,Golden Child,South Korea,0,0,M,1993,30
195,Dahye,Song Dahye,1993-06-12,,South Korea,0,0,F,1993,30
196,Dahyun,Kim Dahyun,1998-05-28,Twice,South Korea,165,0,F,1998,25
197,Dahyun,Jeong Dahyun,2005-04-29,Rocket Punch,South Korea,160,0,F,2005,18
198,Dahyun,Seo Dahyun,2003-01-08,tripleS,South Korea,160,0,F,2003,20
199,Dain,Song Jieun,1990-06-25,,South Korea,0,0,F,1990,33
200,Dain,Jung Dain,2004-12-15,HOT ISSUE,South Korea,0,0,F,2004,19
201,Daisy,Yoo Jeongahn,1999-01-22,,South Korea,0,0,F,1999,24
202,Dajeong,Kim Dajeong,1995-08-08,Hashtag,South Korea,170,0,F,1995,28
203,Dajeong,Jung Dajeong,2003-07-31,Pixy,South Korea,157,42,F,2003,20
204,Dakyung,Jung Dakyung,2001-07-23,Hi-L,South Korea,0,0,F,2001,22
205,Dalyn,Lee Sohyun,1999-08-27,ANS,South Korea,0,0,F,1999,24
206,Damhee,Park Damhee,2000-06-21,ARTBEAT,South Korea,0,0,F,2000,23
207,Dami,Lee Yoobin,1997-03-07,Dreamcatcher,South Korea,163,0,F,1997,26
208,Dami,Hong Dayoung,2001-06-07,ANS,South Korea,0,0,F,2001,22
209,Damin,Kang Damin,2004-03-24,Queenz Eye,South Korea,166,42,F,2004,19
210,Damon,Hu Boohan,1996-07-02,VARSITY,China,181,0,M,1996,27
211,Dan-a,Park Seungyeon,1993-06-26,Matilda,South Korea,0,160,F,1993,30
212,Dana,Jang Dana,2003-12-25,HOT ISSUE,South Korea,0,0,F,2003,20
213,Daniel,Kang Daniel,1996-12-10,Wanna One,South Korea,0,0,M,1996,27
214,Danielle,Mo Jihye,2005-04-11,NewJeans,South Korea,165,0,F,2005,18
215,Dann,Jung Seungbo,1997-11-01,Kingdom,South Korea,178,0,M,1997,26
216,Dany,Jeon Eunji,1998-01-20,Ho1iday,South Korea,0,0,F,1998,25
217,Daon,Ahn Seonil,2000-12-10,DUSTIN,South Korea,0,0,M,2000,23
218,Dara,Park Sandara,1984-11-12,2NE1,South Korea,0,0,F,1984,39
219,Daseul,Yang Daseul,2000-09-14,Maka Maka,South Korea,0,0,F,2000,23
220,Dasom,Kim Dasom,1993-05-06,SISTAR,South Korea,0,0,F,1993,30
221,Dasom,Lee Dasom,1993-11-13,2EYES,South Korea,164,0,F,1993,30
222,Davin,Kim Davin,2002-05-30,XODIAC,South Korea,187,0,M,2002,21
223,Dawon,Nam Dawon,1997-03-16,WJSN,South Korea,167,0,F,1997,26
224,Dawon,Lee Sanghyuk,1995-07-24,SF9,South Korea,0,0,M,1995,28
225,Dawon,Cho Dawon,2000-05-12,VARSITY,South Korea,183,69,M,2000,23
226,Dawon,Lee Dawon,1996-12-02,ARIAZ,South Korea,0,0,F,1996,27
227,Daye,Kim Hyunjung,1998-02-25,Berry Good,South Korea,167,0,F,1998,25
228,Dayeon,Hwang Da Kyeon,1995-11-17,XUM,South Korea,0,0,F,1995,28
229,Dayeon,Kim Dayeon,2003-03-02,Kep1er,South Korea,158,0,F,2003,20
230,Dayoung,Kim Dayoung,1991-02-02,Blady,South Korea,0,0,F,1991,32
231,Dayoung,Im Dayoung,1999-05-14,WJSN,South Korea,161,0,F,1999,24
232,Dayun,Kim Dayun,2000-11-20,Bonus Baby,South Korea,164,0,F,2000,23
233,Della,Park Sehyun,1995-09-03,Rockit Girl,South Korea,0,0,F,1995,28
234,Denise,Kim Denise,2001-01-11,,South Korea,0,0,F,2001,22
235,Dey,Kim Sehyun,2003-06-11,YOUNITE,South Korea,0,0,M,2003,20
236,Dia,Kwak Minnyeong,1999-09-03,Maka Maka,South Korea,0,0,F,1999,24
237,Dia,Choi Eunji,2001-07-16,Pixy,South Korea,165,0,F,2001,22
238,Dino,Lee Chan,1999-02-11,Seventeen,South Korea,167,54,M,1999,24
239,Dita,Dita Karang,1996-12-25,SECRET NUMBER,Indonesia,0,0,F,1996,27
240,DK,Lee Seongmin,1997-02-18,Seventeen,South Korea,178,68,M,1997,26
241,DK,Kim Donghyuk,1997-01-03,iKON,South Korea,0,0,M,1997,26
242,DK,Kim Dokyun,1998-02-16,BLANK2Y,South Korea,0,0,M,1998,25
243,Do-A,Choi Yuna,1999-02-02,ALICE,South Korea,0,0,F,1999,24
244,Doa,Im Youngseo,2001-10-29,We;Na,South Korea,158,44,F,2001,22
245,Doah,Kim Doah,2003-12-04,FANATICS,South Korea,163,42,F,2003,20
246,Doha,Na Gyumin,2004-03-07,BAE173,South Korea,0,0,M,2004,19
247,Doha,Park Doha,1992-03-27,XEED,South Korea,175,65,M,1992,31
248,Dohee,Yoon Dohee,1999-09-24,,South Korea,0,0,F,1999,24
249,Dohee,Min Dohee,1994-09-25,Tiny-G,South Korea,152,39,F,1994,29
250,Dohee,Kwon Dohee,2002-08-01,Cignature,South Korea,158,39,F,2002,21
251,Dohwan,Gil Dohwan,2003-08-26,Ciipher,South Korea,175,61,M,2003,20
252,Dohyon,Nam Dohyon,2004-11-10,BAE173,South Korea,180,62,M,2004,19
253,Dohyuk,Kim Dohyuk,1998-01-16,14U,South Korea,0,0,M,1998,25
254,Doi,Kim Doi,1994-04-12,FANATICS,South Korea,170,0,F,1994,29
255,Dojin,Jeon Yongtae,1997-03-07,ENOi,South Korea,181,61,M,1997,26
256,Dokyun,Na Dokyun,1991-02-11,HISTORY,South Korea,184,65,M,1991,32
257,Donggeon,Song Donggeon,1999-07-15,TOO,South Korea,0,0,M,1999,24
258,Donghae,Lee Donghae,1986-10-15,Super Junior,South Korea,176,60,M,1986,37
259,Donghan,Kim Donghan,1998-07-03,WEi,South Korea,0,0,M,1998,25
260,Dongheon,Lee Dongheon,1995-08-04,Verivery,South Korea,0,0,M,1995,28
261,Donghun,Lee Donghun,1993-05-15,A.C.E,South Korea,0,0,M,1993,30
262,Donghyuk,Park Donghyuk,1999-12-18,BLANK2Y,South Korea,178,61,M,1999,24
263,Donghyun,Kim Donghyun,1989-02-12,Boyfriend,South Korea,178,60,M,1989,34
264,Donghyun,Kim Donghyun,1999-02-23,Golden Child,South Korea,0,0,M,1999,24
265,Donghyun,Kim Donghyun,1998-09-17,AB6IX,South Korea,0,0,M,1998,25
266,Dongjun,Kim Dongjun,1992-02-11,ZE:A,South Korea,0,0,M,1992,31
267,Dongjun,Hwang Dongjun,1999-09-07,,South Korea,0,0,M,1999,24
268,Dongkyu,Moon Dongkyu,1992-11-16,Spectrum,South Korea,0,0,M,1992,31
269,Dongmyeong,Son Dongmyeong,2000-01-20,Onewe,South Korea,0,0,M,2000,23
270,Dongpyo,Son Dongpyo,2002-09-09,Mirae,South Korea,166,48,M,2002,21
271,Dongwan,Kim Dongwan,1979-11-21,Shinhwa,South Korea,173,68,M,1979,44
272,Dongwon,Lee Dongwon,1994-01-01,KNK,South Korea,184,0,M,1994,29
273,Dongwoo,Jang Dongwoo,1990-11-22,Infinite,South Korea,171,58,M,1990,33
274,Dongwoon,Son Dongwoon,1991-06-06,Highlight,South Korea,181,64,M,1991,32
275,Dongyun,Kim Dongyun,2002-02-18,DRIPPIN,South Korea,177,61,M,2002,21
276,Doojoon,Yoon Doojoon,1989-07-04,Highlight,South Korea,177,66,M,1989,34
277,Doryun,Kim Doryun,2000-05-01,AIMERS,South Korea,0,0,M,2000,23
278,Dosie,Jang Eunseung,2000-02-11,Purple Kiss,South Korea,0,0,F,2000,23
279,Douhyun,Yoo Douhyun,2000-12-25,Mirae,South Korea,0,0,M,2000,23
280,Dowoon,Yoon Dowoon,1995-08-25,DAY6,South Korea,0,0,M,1995,28
281,Doyeon,Kim Doyeon,1999-12-04,Weki Meki,South Korea,0,0,F,1999,24
282,Doyoung,Kim Dongyoung,1996-02-01,NCT,South Korea,0,0,M,1996,27
283,Doyoung,Kim Doyoung,2003-12-04,Treasure,South Korea,0,0,M,2003,20
284,Duna,Kang Duna,2005-04-28,CSR,South Korea,0,0,F,2005,18
285,DY,Jeon Doyum,2002-02-21,JUST B,South Korea,175,55,M,2002,21
286,Dylan,Park Yeonjae,2002-07-26,D-CRUNCH,South Korea,0,0,M,2002,21
287,E'Dawn,Kim Hyojong,1994-06-01,,South Korea,0,0,M,1994,29
288,E-Chan,Lee Changmin,1997-02-19,DKB,South Korea,178,63,M,1997,26
289,E-tion,Lee Changyoon,1994-12-24,ONF,South Korea,0,0,M,1994,29
290,E-Young,Noh Yiyoung,1992-08-16,After School,South Korea,0,0,F,1992,31
291,E.Ji,Choi Jiwon,2000-11-08,ICHILLIN',South Korea,0,0,F,2000,23
292,E.sha,Kwon Yena,1998-12-29,X:IN,Australia,0,0,F,1998,25
293,E.sol,Jeon Jaehyuk,1992-09-17,14U,South Korea,0,0,M,1992,31
294,E:U,Park Jiwon,1998-05-19,Everglow,South Korea,0,0,F,1998,25
295,Eden,Jae Won,1998-03-27,NINE.i,South Korea,0,0,M,1998,25
296,EJ,Kim Eunji,1997-08-13,ALICE,South Korea,164,47,F,1997,26
297,Eli,Ellison Kim,1991-03-13,U-KISS,USA,0,0,M,1991,32
298,Elkie,Chong Ting Yan,1998-11-02,,Hong Kong,163,45,F,1998,25
299,Ella,Kim Kyungjoo,1998-03-26,,South Korea,0,0,F,1998,25
300,Ellin,Kim Minyoung,1990-04-02,Crayon Pop,South Korea,165,44,F,1990,33
301,Elly,Jung Haerim,1998-07-20,Weki Meki,South Korea,0,0,F,1998,25
302,Ellyn,Bang Sunhee,2002-10-19,Girlkind,South Korea,0,170,F,2002,21
303,Elva,Lee Yonghwa,2003-05-05,ILY:1,South Korea,0,0,F,2003,20
304,Eric,Son Youngjae,2000-12-22,The Boyz,South Korea,171,56,M,2000,23
305,Eric,Moon Junghyuk,1979-02-16,Shinhwa,South Korea,180,70,M,1979,44
306,Eseo,Noh Hyunjung,1996-03-04,LUNARSOLAR,South Korea,161,0,F,1996,27
307,Eson,Kim Jungmin,1996-12-28,We In The Zone,South Korea,177,63,M,1996,27
308,Euaerin,Lee Hyemin,1988-05-03,,South Korea,174,48,F,1988,35
309,Euijeong,Yeon Euijeong,2001-07-21,KELT9b,South Korea,170,49,F,2001,22
310,Euijin,Hong Euijin,1996-10-08,Sonamoo,South Korea,168,0,F,1996,27
311,Euijin,Lee Euijin,1990-02-15,Bigflo,South Korea,0,0,M,1990,33
